locality,bhk,area_sqft,furnishing,floor,total_floors,building_age_yrs,tenant_preferred,gym,swimming_pool,power_backup,lift,security,parking,club_house,dist_metro_km,dist_techpark_km,monthly_rent
Yelahanka,3,1389,Unfurnished,9,20,3,Bachelor,0,0,0,1,0,0,0,4.4,8.1,23000
Electronic City,1,496,Fully Furnished,0,3,15,Any,0,0,0,1,1,0,0,5.3,0.6,13500
Marathahalli,2,1011,Unfurnished,6,7,3,Any,1,0,1,0,0,0,1,3.5,0.4,23500
Koramangala,2,541,Fully Furnished,0,5,6,Family,1,1,1,1,0,1,1,1.0,1.5,67500
Whitefield,3,1186,Fully Furnished,4,10,15,Family,1,0,0,0,1,1,0,4.2,1.0,40500
Begur,3,1396,Fully Furnished,3,10,3,Bachelor,0,0,1,0,0,0,0,5.4,3.3,20500
Whitefield,1,483,Semi-Furnished,2,20,6,Bachelor,0,1,1,0,1,0,1,4.7,0.5,21000
Electronic City,1,404,Semi-Furnished,1,3,1,Bachelor,0,0,0,0,0,1,0,4.9,0.7,14500
Hennur,3,1060,Semi-Furnished,5,10,3,Bachelor,0,0,1,0,1,0,0,4.4,7.3,23000
Vasanth Nagar,2,874,Semi-Furnished,3,10,1,Any,1,1,1,1,1,0,1,0.7,4.4,76500
Vasanth Nagar,2,917,Semi-Furnished,1,5,20,Bachelor,1,0,1,1,0,1,0,1.6,4.2,58000
Whitefield,2,961,Unfurnished,5,5,1,Family,0,0,1,1,1,0,1,4.5,0.4,26500
JP Nagar,2,793,Semi-Furnished,10,10,6,Any,0,0,1,0,1,0,0,2.8,5.1,27000
Electronic City,3,1072,Semi-Furnished,3,20,3,Family,1,0,0,1,0,0,0,5.6,0.5,26000
Bannerghatta Rd,3,1343,Fully Furnished,2,10,15,Any,0,0,0,0,0,0,0,3.8,4.8,22000
BTM Layout,2,682,Fully Furnished,2,3,10,Family,0,0,1,0,1,1,0,2.1,2.3,38500
HSR Layout,2,939,Semi-Furnished,8,10,6,Any,1,0,1,1,1,1,0,2.9,0.2,46000
Mahadevapura,3,1584,Unfurnished,0,5,6,Family,1,0,1,0,0,0,1,2.4,1.5,29000
HSR Layout,1,482,Fully Furnished,2,10,20,Family,1,0,0,1,0,0,0,2.2,0.8,25000
Electronic City,1,430,Semi-Furnished,4,5,15,Family,0,0,0,0,1,0,0,5.4,0.2,8500
JP Nagar,3,1288,Fully Furnished,7,7,6,Any,1,0,0,0,0,0,0,3.5,5.1,44000
Sarjapur Road,2,816,Fully Furnished,4,7,6,Any,1,0,1,0,0,1,0,4.5,1.1,28500
Indiranagar,1,545,Unfurnished,1,5,3,Bachelor,0,1,1,1,0,1,0,0.8,3.4,34500
Whitefield,1,474,Fully Furnished,0,5,10,Any,0,0,0,0,0,1,0,4.7,0.2,22000
Banashankari,3,1332,Unfurnished,0,5,3,Bachelor,0,0,0,0,0,0,0,3.5,6.5,20000
Whitefield,2,861,Semi-Furnished,1,3,6,Bachelor,1,0,1,0,1,0,0,4.2,0.2,31500
Sadashivanagar,2,794,Semi-Furnished,7,7,20,Any,1,0,1,1,1,1,1,3.4,6.9,62500
Bellandur,1,414,Unfurnished,4,10,3,Family,0,0,0,1,0,1,0,3.4,1.0,15000
Hennur,3,1566,Fully Furnished,5,7,10,Family,0,0,1,1,0,1,0,4.6,7.2,28500
Vasanth Nagar,3,1441,Unfurnished,8,10,3,Any,0,1,0,1,1,1,0,0.6,4.4,84000
Indiranagar,2,776,Unfurnished,4,7,10,Any,1,0,1,1,1,0,1,0.7,3.5,57000
Koramangala,2,849,Semi-Furnished,3,3,20,Any,0,1,0,1,1,1,0,1.7,2.0,43000
Whitefield,1,558,Fully Furnished,0,3,3,Any,1,0,1,1,0,1,0,4.4,0.2,25500
Whitefield,3,1626,Fully Furnished,10,10,15,Family,1,0,1,1,1,0,0,4.1,0.9,56500
Marathahalli,2,1054,Fully Furnished,2,7,10,Any,1,1,1,0,1,1,0,3.2,0.3,30500
HSR Layout,3,1457,Semi-Furnished,5,5,15,Bachelor,1,0,0,1,1,0,0,2.8,1.8,51000
JP Nagar,2,1058,Semi-Furnished,4,5,1,Any,0,0,0,0,0,0,0,2.9,5.8,27000
Whitefield,3,1776,Unfurnished,2,3,20,Bachelor,1,0,0,0,1,0,0,4.5,0.9,29000
Yelahanka,3,1604,Unfurnished,7,7,6,Bachelor,0,0,1,1,1,1,1,4.4,8.8,22000
Attibele,2,1165,Semi-Furnished,5,15,15,Bachelor,0,0,0,1,0,0,0,7.6,2.1,13500
Indiranagar,3,1341,Semi-Furnished,1,10,20,Family,1,1,0,1,1,1,0,1.2,3.5,66000
Sarjapur Road,2,684,Semi-Furnished,9,10,3,Family,0,0,0,1,0,0,0,4.0,0.5,29500
JP Nagar,1,393,Fully Furnished,0,15,3,Any,0,0,0,0,1,1,1,3.0,5.4,22000
JP Nagar,2,804,Semi-Furnished,0,3,3,Any,0,1,1,1,1,1,0,3.4,5.2,28000
Bellandur,2,774,Unfurnished,6,7,6,Family,1,1,0,0,0,1,1,4.1,1.1,26500
Sarjapur Road,2,826,Unfurnished,0,3,1,Any,0,1,1,0,1,0,0,3.6,1.6,26000
Attibele,1,631,Fully Furnished,5,10,10,Bachelor,0,0,0,0,0,1,0,7.6,2.1,8000
Indiranagar,2,885,Fully Furnished,3,3,10,Bachelor,0,0,1,0,1,0,0,0.7,2.7,71500
Indiranagar,2,874,Fully Furnished,8,15,1,Family,1,0,1,0,1,1,0,0.6,3.9,79500
Bellandur,2,905,Unfurnished,2,7,1,Any,1,1,1,1,1,0,0,3.9,1.3,26000
Whitefield,2,1045,Fully Furnished,5,7,10,Any,1,1,0,0,0,0,0,3.7,1.6,37500
HSR Layout,2,916,Unfurnished,6,7,20,Bachelor,0,0,0,1,0,0,0,2.3,1.7,24000
Indiranagar,1,630,Unfurnished,3,5,20,Bachelor,1,0,1,1,1,1,0,0.9,3.7,32000
Indiranagar,2,849,Fully Furnished,5,7,6,Family,0,0,1,1,1,0,0,0.9,4.2,60000
Hennur,2,820,Unfurnished,3,5,3,Bachelor,0,1,1,0,0,0,0,4.7,7.0,21000
Jayanagar,1,565,Semi-Furnished,14,15,20,Family,1,0,1,0,1,0,0,1.7,4.7,19500
BTM Layout,3,1535,Unfurnished,4,10,6,Family,0,0,1,1,1,0,0,2.4,2.7,29500
Vasanth Nagar,3,2002,Semi-Furnished,5,10,3,Any,1,0,0,1,0,0,0,1.0,4.2,96500
BTM Layout,2,913,Fully Furnished,3,3,10,Any,0,0,0,1,1,0,1,2.3,2.8,32000
Koramangala,3,1395,Semi-Furnished,14,15,6,Bachelor,0,0,1,1,0,0,1,1.1,1.8,65000
Marathahalli,3,1088,Semi-Furnished,0,3,10,Family,0,0,0,0,0,0,0,3.4,1.5,34000
Koramangala,3,1607,Unfurnished,6,7,3,Bachelor,1,1,1,1,1,1,1,1.3,2.7,65000
Electronic City,1,690,Semi-Furnished,0,7,20,Any,1,0,1,1,0,0,0,5.5,0.5,11000
HSR Layout,3,1364,Semi-Furnished,4,5,6,Any,1,0,0,1,1,0,0,2.5,1.5,52000
Marathahalli,2,889,Unfurnished,3,7,10,Any,1,0,0,0,0,1,1,3.2,0.8,25500
Hennur,2,1022,Semi-Furnished,6,7,3,Bachelor,0,0,1,0,0,0,1,4.8,5.7,18000
Sarjapur Road,1,612,Unfurnished,9,10,1,Any,0,0,0,1,0,0,0,4.1,0.9,15000
Marathahalli,2,992,Fully Furnished,3,5,6,Family,0,0,1,1,1,0,1,3.2,0.2,33000
BTM Layout,1,532,Semi-Furnished,1,7,6,Family,0,0,1,1,1,0,1,2.6,2.3,17500
BTM Layout,1,543,Unfurnished,0,7,3,Family,1,0,1,0,1,1,0,2.0,2.2,19000
Sarjapur Road,2,950,Semi-Furnished,1,5,20,Bachelor,0,1,1,1,1,0,0,4.3,1.2,25500
Attibele,3,1489,Semi-Furnished,1,5,1,Any,0,0,1,0,0,0,0,8.1,2.9,13000
Sarjapur Road,3,1308,Fully Furnished,10,15,15,Any,1,0,1,1,1,0,0,4.3,0.4,35000
Marathahalli,2,855,Fully Furnished,0,3,6,Family,1,0,1,0,0,0,0,2.9,0.6,33500
Bellandur,3,1412,Semi-Furnished,13,15,20,Family,0,1,1,1,1,1,0,3.6,0.8,30000
Banashankari,3,1441,Fully Furnished,0,3,10,Family,0,0,0,1,1,0,0,3.0,5.6,30500
Koramangala,3,1367,Semi-Furnished,3,7,10,Family,1,0,0,0,1,0,0,1.9,2.6,68000
Marathahalli,1,558,Unfurnished,0,15,1,Bachelor,1,1,1,0,1,1,0,3.5,0.3,19500
Begur,2,820,Semi-Furnished,7,7,3,Any,0,0,0,0,1,0,0,5.3,4.0,18000
Jayanagar,3,1558,Semi-Furnished,9,10,1,Any,0,0,0,1,1,1,0,1.8,6.2,48000
Sarjapur Road,2,946,Semi-Furnished,1,5,6,Any,1,0,1,0,1,0,0,4.0,1.5,24500
Jayanagar,2,1081,Fully Furnished,10,10,1,Any,0,1,1,1,0,0,0,1.7,4.8,53000
Marathahalli,2,1073,Semi-Furnished,3,5,6,Bachelor,0,0,0,1,0,0,0,3.1,1.3,24500
Indiranagar,2,1117,Fully Furnished,1,10,15,Family,0,1,0,1,1,1,0,0.8,3.3,68000
Banashankari,2,1130,Fully Furnished,3,5,20,Bachelor,0,0,1,1,1,0,0,3.0,6.5,25000
Bellandur,1,443,Semi-Furnished,0,7,6,Bachelor,1,0,1,0,0,0,1,3.7,1.3,18500
BTM Layout,2,839,Semi-Furnished,8,20,10,Any,0,0,0,1,0,1,1,2.1,2.4,20000
Sarjapur Road,3,1242,Semi-Furnished,3,3,6,Family,1,0,1,0,1,1,0,4.1,1.2,51500
Mahadevapura,3,1322,Fully Furnished,2,7,3,Family,0,0,0,1,1,0,0,3.0,1.2,38000
Bannerghatta Rd,1,616,Semi-Furnished,2,3,1,Family,0,1,1,0,0,1,0,3.7,5.0,14500
HSR Layout,3,1253,Unfurnished,3,3,10,Any,1,1,1,1,1,1,0,2.4,1.0,48500
JP Nagar,2,1093,Semi-Furnished,2,10,6,Bachelor,0,0,1,1,1,1,0,3.0,5.6,30000
Sadashivanagar,2,922,Semi-Furnished,1,3,6,Any,1,1,0,0,1,0,0,3.7,5.7,66500
Attibele,3,1739,Unfurnished,0,10,6,Any,0,0,0,0,1,1,0,8.2,1.8,14000
Bannerghatta Rd,3,1424,Unfurnished,9,15,15,Family,0,0,1,0,1,0,0,4.1,4.0,23000
Marathahalli,3,1273,Semi-Furnished,10,10,15,Bachelor,1,1,0,1,0,0,1,3.6,0.8,43000
Electronic City,2,969,Semi-Furnished,4,5,6,Any,0,0,0,0,1,0,1,5.5,0.7,23000
Marathahalli,3,1385,Semi-Furnished,6,10,6,Bachelor,1,0,0,0,1,0,0,3.9,1.5,29000
Whitefield,1,523,Unfurnished,18,20,6,Any,1,0,1,0,0,1,1,5.0,0.2,19000
Indiranagar,2,838,Unfurnished,1,7,6,Family,0,0,1,1,1,1,1,0.8,3.5,59500
Bellandur,2,943,Semi-Furnished,4,5,6,Family,1,1,1,0,0,0,0,3.6,0.8,28500
Indiranagar,2,861,Semi-Furnished,4,15,10,Any,0,1,0,1,1,1,0,0.5,3.3,44000
Electronic City,2,1031,Unfurnished,2,3,1,Any,1,0,0,1,0,1,0,5.5,0.2,17000
Mahadevapura,3,1253,Semi-Furnished,7,10,6,Any,0,0,0,1,0,1,0,3.1,0.8,24000
Sarjapur Road,1,571,Semi-Furnished,1,5,6,Any,1,0,0,0,1,1,0,4.0,0.9,10000
Koramangala,1,503,Unfurnished,0,3,6,Any,0,1,1,0,1,0,0,1.8,2.2,23500
HSR Layout,2,1015,Unfurnished,2,10,20,Any,0,0,0,1,1,1,0,2.2,2.1,28500
HSR Layout,2,761,Unfurnished,4,5,6,Any,0,0,1,1,1,1,0,2.5,1.7,27000
BTM Layout,3,1434,Fully Furnished,4,5,15,Bachelor,1,1,1,0,1,0,0,2.1,2.4,46500
Indiranagar,2,1074,Fully Furnished,2,3,20,Family,1,1,1,1,1,1,0,0.4,2.8,58500
Bannerghatta Rd,1,616,Fully Furnished,1,10,10,Any,0,0,1,1,0,0,0,4.1,5.0,14000
Marathahalli,3,1502,Fully Furnished,11,15,3,Bachelor,0,0,0,0,1,1,0,4.1,1.7,35500
HSR Layout,2,1023,Semi-Furnished,4,7,3,Bachelor,0,0,1,0,1,0,0,2.6,1.2,36000
JP Nagar,1,518,Semi-Furnished,1,7,1,Bachelor,1,0,1,0,1,1,0,3.0,5.7,21000
Banashankari,2,1068,Semi-Furnished,4,5,3,Bachelor,0,1,1,0,0,0,0,4.2,5.8,29000
Whitefield,2,911,Unfurnished,0,15,20,Bachelor,1,0,1,1,1,0,0,4.6,0.4,21000
Marathahalli,2,902,Semi-Furnished,4,20,3,Family,1,0,1,0,0,1,0,3.5,0.8,32000
Bannerghatta Rd,2,1149,Fully Furnished,1,15,10,Any,1,0,1,1,0,1,0,3.6,4.7,22500
Yelahanka,3,1537,Semi-Furnished,3,10,10,Bachelor,1,0,1,1,0,0,0,4.2,8.3,23000
Attibele,3,1241,Semi-Furnished,3,5,6,Bachelor,0,0,0,0,0,1,0,7.9,1.9,19000
Electronic City,2,929,Unfurnished,3,5,3,Family,1,0,0,0,0,0,0,5.3,0.2,16000
Jayanagar,1,688,Semi-Furnished,12,15,3,Family,0,1,1,1,1,0,1,2.0,4.6,26500
Bannerghatta Rd,3,1383,Semi-Furnished,5,5,3,Family,1,0,1,0,1,1,0,3.6,4.4,33000
Indiranagar,2,1005,Fully Furnished,5,10,3,Any,0,1,0,0,1,1,0,1.3,3.7,69500
Electronic City,2,891,Semi-Furnished,2,3,3,Family,1,0,0,1,0,1,0,5.6,0.7,20000
JP Nagar,2,1002,Fully Furnished,1,5,6,Any,0,0,0,1,1,1,0,3.3,5.8,35500
Hennur,3,1325,Semi-Furnished,3,5,3,Family,0,0,0,1,0,0,0,4.2,7.6,24000
Hennur,2,1000,Fully Furnished,2,7,6,Family,1,1,0,0,1,1,0,4.2,7.5,22000
Electronic City,1,392,Semi-Furnished,4,10,1,Family,0,0,1,0,0,0,0,5.2,0.6,11000
Mahadevapura,2,1071,Semi-Furnished,1,5,6,Family,0,0,1,0,1,0,0,3.1,1.4,25000
HSR Layout,3,1385,Semi-Furnished,3,7,3,Any,0,0,0,1,0,0,0,2.5,1.5,50500
Indiranagar,1,564,Fully Furnished,5,5,10,Any,1,0,0,1,1,1,0,0.9,2.7,39000
JP Nagar,3,1209,Fully Furnished,14,15,20,Bachelor,1,0,1,0,1,0,0,3.3,6.3,34000
Jayanagar,2,1140,Unfurnished,2,5,10,Family,0,1,1,1,1,1,0,1.5,4.1,36000
Sarjapur Road,2,946,Unfurnished,3,3,15,Family,0,0,0,0,0,0,1,4.3,1.1,23500
BTM Layout,2,917,Fully Furnished,3,5,15,Bachelor,0,0,1,1,0,0,0,2.2,2.1,36000
Begur,1,572,Semi-Furnished,4,10,6,Any,0,0,0,1,0,0,0,5.0,4.0,9500
Whitefield,3,1222,Semi-Furnished,7,10,10,Family,0,1,0,0,0,0,0,4.4,1.0,48000
Electronic City,2,996,Semi-Furnished,16,20,15,Any,0,1,1,1,0,0,0,6.0,0.2,19500
Indiranagar,3,1324,Unfurnished,3,5,10,Bachelor,0,1,1,1,0,1,1,0.5,3.4,67000
Hennur,2,775,Fully Furnished,9,10,20,Family,0,0,0,1,1,1,0,4.2,7.0,19500
Bannerghatta Rd,1,544,Fully Furnished,3,7,6,Bachelor,0,0,0,0,0,1,1,3.9,3.7,16000
Yelahanka,1,496,Semi-Furnished,0,3,6,Family,0,1,1,0,1,1,1,4.0,9.0,18000
Whitefield,2,998,Semi-Furnished,5,7,6,Any,0,0,0,1,1,1,0,4.9,0.8,26500
Mahadevapura,3,1397,Fully Furnished,5,10,6,Family,0,1,0,0,1,1,0,2.6,0.8,33500
Jayanagar,2,1037,Unfurnished,3,5,3,Any,1,0,0,1,1,1,0,0.9,4.4,35500
Marathahalli,2,922,Fully Furnished,2,3,15,Family,0,0,1,0,1,1,0,4.0,1.3,29000
JP Nagar,2,1072,Unfurnished,3,5,6,Any,1,0,0,1,1,1,0,3.0,6.0,26000
Sadashivanagar,2,865,Semi-Furnished,4,5,3,Family,0,0,1,0,1,1,0,3.5,6.0,70000
BTM Layout,2,988,Fully Furnished,6,10,3,Any,0,0,1,0,1,0,0,1.7,2.3,37000
Koramangala,3,1138,Semi-Furnished,7,10,1,Any,1,1,1,0,0,0,0,1.2,1.6,70000
Koramangala,2,673,Semi-Furnished,2,7,6,Any,0,0,0,1,0,0,0,1.3,1.9,39500
Indiranagar,2,710,Semi-Furnished,1,20,1,Bachelor,0,0,1,1,1,1,0,0.5,3.3,57500
Begur,1,483,Semi-Furnished,0,3,15,Any,0,0,0,0,0,0,0,5.0,2.9,8500
Marathahalli,3,1549,Unfurnished,10,10,10,Family,0,0,1,1,1,0,0,3.6,1.2,40000
Begur,1,616,Fully Furnished,17,20,3,Family,0,0,0,0,1,0,0,4.8,2.9,11500
Banashankari,1,402,Fully Furnished,1,3,1,Bachelor,0,0,0,0,0,0,0,3.2,6.5,15500
BTM Layout,2,865,Semi-Furnished,20,20,1,Family,1,0,1,1,1,1,0,2.0,2.8,26500
Marathahalli,2,1025,Semi-Furnished,3,15,1,Any,1,0,0,1,1,1,0,3.3,0.7,34500
Banashankari,2,1215,Unfurnished,14,20,15,Family,0,0,0,1,1,1,0,3.7,5.5,21000
Indiranagar,2,1061,Unfurnished,0,5,1,Bachelor,0,0,1,1,1,0,0,0.8,3.5,39500
Whitefield,3,1408,Semi-Furnished,0,5,1,Bachelor,0,0,0,0,0,1,0,4.5,0.2,41500
Vasanth Nagar,1,542,Fully Furnished,1,5,20,Bachelor,0,1,0,1,1,1,0,1.2,4.1,33500
Whitefield,3,1588,Semi-Furnished,9,15,10,Any,1,0,1,1,1,1,1,4.8,0.6,43500
Sarjapur Road,2,806,Fully Furnished,2,10,15,Family,0,0,1,1,1,0,1,4.0,0.6,38000
Sadashivanagar,2,907,Unfurnished,9,10,15,Bachelor,1,0,1,1,0,1,0,3.0,6.1,57500
Koramangala,2,893,Semi-Furnished,10,20,15,Family,0,0,0,1,0,1,0,1.5,3.0,45000
Mahadevapura,2,1040,Unfurnished,2,5,15,Any,1,0,0,1,0,1,0,3.3,1.9,19500
Banashankari,3,1338,Semi-Furnished,5,5,1,Any,0,0,1,1,1,1,1,3.5,5.5,35000
Koramangala,2,855,Unfurnished,3,10,10,Any,1,0,0,1,1,0,0,1.0,2.6,30000
Attibele,2,890,Fully Furnished,3,3,15,Family,0,0,0,0,0,1,0,7.8,2.4,14000
Koramangala,2,965,Unfurnished,3,5,15,Family,1,0,1,1,1,0,1,1.0,3.3,53500
Sarjapur Road,3,1409,Fully Furnished,1,5,20,Family,0,0,1,0,0,1,0,4.3,0.9,44000
Attibele,2,1043,Semi-Furnished,3,3,20,Family,0,0,0,1,0,0,0,8.2,2.1,12500
HSR Layout,3,1687,Fully Furnished,1,5,15,Family,0,0,1,1,1,1,0,2.1,2.4,52000
Sadashivanagar,2,1019,Semi-Furnished,3,15,1,Any,1,1,1,1,1,1,0,3.4,6.7,84500
Indiranagar,1,456,Fully Furnished,9,15,1,Family,0,0,1,1,0,1,0,1.1,3.5,39000
HSR Layout,1,619,Unfurnished,15,15,15,Bachelor,0,1,1,1,1,0,0,2.8,1.6,21500
Indiranagar,2,1086,Fully Furnished,7,7,10,Any,1,0,0,0,0,0,1,1.3,3.4,64000
Sarjapur Road,1,418,Fully Furnished,3,5,1,Any,0,0,0,0,0,0,0,3.7,2.4,15500
Koramangala,1,304,Unfurnished,3,5,15,Family,1,1,1,1,1,1,1,1.1,2.6,25500
Marathahalli,3,1495,Unfurnished,4,7,1,Family,1,1,0,1,1,0,0,3.6,1.4,35500
Attibele,3,1261,Semi-Furnished,2,3,6,Bachelor,0,0,0,0,1,0,0,7.6,3.1,17000
Electronic City,2,750,Fully Furnished,3,3,10,Family,0,1,0,1,0,0,1,5.5,1.0,27000
Whitefield,1,511,Semi-Furnished,1,3,15,Bachelor,1,0,0,0,0,0,1,4.8,1.1,20000
HSR Layout,1,639,Semi-Furnished,0,7,10,Family,0,0,0,0,1,0,1,2.3,2.1,17000
Whitefield,1,705,Unfurnished,1,15,15,Any,0,0,1,0,0,0,0,3.9,0.4,13500
Marathahalli,2,839,Unfurnished,1,3,15,Any,1,1,0,1,0,1,1,3.7,0.3,21500
JP Nagar,3,1003,Fully Furnished,2,7,10,Bachelor,0,0,1,0,1,1,0,3.2,5.2,41500
Indiranagar,2,638,Unfurnished,0,3,20,Family,0,1,1,1,1,0,0,0.7,3.5,41000
Hennur,1,496,Semi-Furnished,9,10,10,Family,0,0,1,0,0,0,0,4.8,6.9,12500
Banashankari,2,1010,Fully Furnished,15,15,1,Any,1,1,1,0,0,0,1,3.3,5.6,28500
Jayanagar,2,838,Unfurnished,4,15,3,Bachelor,1,0,1,1,0,1,0,1.5,4.9,21500
BTM Layout,2,1066,Semi-Furnished,4,10,15,Family,1,0,0,0,1,0,0,2.1,3.1,28500
JP Nagar,2,977,Unfurnished,0,7,6,Family,1,0,0,0,0,0,0,3.0,6.1,20000
Electronic City,2,1156,Semi-Furnished,2,10,10,Family,0,0,0,1,0,1,0,5.7,0.8,14000
Bellandur,1,558,Unfurnished,7,7,1,Any,0,0,1,1,1,1,0,3.6,1.2,17500
Mahadevapura,1,533,Fully Furnished,5,5,10,Family,0,0,0,0,1,1,1,3.3,2.7,19500
Koramangala,3,1199,Semi-Furnished,4,5,6,Bachelor,0,0,1,1,1,1,0,1.0,1.7,78000
JP Nagar,1,631,Semi-Furnished,4,10,15,Bachelor,0,0,1,0,0,0,0,3.3,5.9,13500
Yelahanka,1,539,Semi-Furnished,1,3,3,Bachelor,0,0,1,0,0,1,0,4.0,7.6,13000
Koramangala,1,549,Unfurnished,6,10,15,Any,1,0,1,1,1,1,0,1.6,2.2,26000
HSR Layout,1,656,Fully Furnished,1,3,6,Any,0,0,1,1,1,0,1,2.6,2.3,26500
Mahadevapura,2,1006,Semi-Furnished,1,5,3,Bachelor,0,0,0,1,0,0,0,3.3,0.7,22500
Indiranagar,3,1521,Semi-Furnished,2,5,10,Family,0,0,0,1,1,1,1,0.3,2.5,91500
Marathahalli,2,986,Unfurnished,7,7,10,Bachelor,1,0,1,0,1,0,0,3.0,0.8,24500
Vasanth Nagar,2,955,Semi-Furnished,2,5,3,Bachelor,1,0,1,0,1,0,0,1.2,4.6,65500
Koramangala,2,845,Unfurnished,1,10,1,Bachelor,0,0,1,1,0,1,0,1.1,1.4,43000
HSR Layout,2,1152,Semi-Furnished,1,10,3,Any,1,0,0,1,1,1,0,2.5,2.8,38000
Begur,3,1150,Unfurnished,1,5,15,Family,0,0,0,0,0,0,0,4.9,3.5,13500
Electronic City,3,1223,Fully Furnished,5,5,6,Bachelor,0,0,0,1,0,1,0,5.3,0.6,31000
Begur,1,573,Unfurnished,3,3,10,Family,0,0,0,0,1,1,0,4.7,3.4,9500
Yelahanka,3,1522,Fully Furnished,0,5,6,Any,1,0,0,1,1,0,1,4.0,7.3,29500
Indiranagar,2,862,Fully Furnished,2,3,6,Family,1,1,0,0,1,1,1,0.8,3.2,52000
Marathahalli,3,1486,Unfurnished,5,10,15,Any,0,1,0,1,1,1,1,3.1,0.4,33500
Banashankari,2,1101,Semi-Furnished,2,7,10,Family,1,1,0,1,0,0,1,3.2,6.4,19000
Electronic City,3,1389,Unfurnished,1,10,3,Bachelor,1,0,0,0,0,0,0,5.7,0.2,23500
Indiranagar,3,1360,Semi-Furnished,4,7,6,Any,1,0,0,1,1,0,0,1.2,3.7,78500
Yelahanka,1,486,Fully Furnished,2,3,6,Family,0,0,0,1,0,0,0,3.5,8.2,14000
Sadashivanagar,2,1111,Semi-Furnished,0,5,15,Any,1,0,1,1,1,1,0,3.4,6.5,67500
BTM Layout,3,1477,Semi-Furnished,3,3,3,Bachelor,0,0,0,0,1,1,1,2.0,1.2,41500
Bellandur,3,1341,Unfurnished,0,7,3,Bachelor,0,0,1,1,0,0,0,3.1,1.2,33000
Yelahanka,1,674,Semi-Furnished,6,10,10,Family,0,1,1,0,0,0,0,3.9,7.5,14000
BTM Layout,2,886,Unfurnished,1,7,10,Bachelor,0,0,0,0,0,0,0,2.3,3.0,21500
JP Nagar,2,1049,Fully Furnished,1,15,3,Bachelor,0,0,1,0,0,0,0,3.6,4.6,29000
Banashankari,1,478,Semi-Furnished,2,3,10,Bachelor,1,0,0,0,1,0,0,3.3,6.2,14500
Mahadevapura,2,939,Fully Furnished,0,10,10,Any,1,0,0,1,0,0,1,3.1,1.0,22500
Hennur,1,603,Unfurnished,5,7,3,Bachelor,0,0,0,0,0,0,0,3.9,5.8,9500
Begur,3,1709,Semi-Furnished,0,3,6,Family,1,0,0,1,0,1,0,5.3,4.2,16500
Mahadevapura,2,1029,Semi-Furnished,5,5,15,Family,0,0,1,0,1,1,0,3.2,2.3,21000
BTM Layout,3,1556,Unfurnished,7,7,15,Family,0,0,1,0,1,0,0,2.2,3.1,30000
Sarjapur Road,1,535,Semi-Furnished,1,20,6,Family,0,0,1,1,0,0,0,3.9,1.0,19000
Banashankari,2,1082,Fully Furnished,7,10,15,Any,0,1,1,0,0,0,0,4.3,6.1,25500
HSR Layout,1,591,Fully Furnished,9,10,6,Any,0,0,1,1,0,1,0,2.5,2.1,20500
Electronic City,1,558,Semi-Furnished,1,3,1,Family,0,0,0,1,0,0,0,5.2,0.7,10500
Koramangala,1,476,Semi-Furnished,2,10,10,Any,1,1,1,0,1,1,1,1.8,2.1,29500
Bannerghatta Rd,1,563,Unfurnished,1,10,6,Bachelor,0,0,0,1,1,1,0,3.8,4.9,9500
Banashankari,2,918,Fully Furnished,7,7,3,Any,0,0,0,1,0,1,1,3.3,6.0,25500
Whitefield,2,840,Unfurnished,2,5,6,Any,0,0,0,1,0,0,0,4.5,0.5,29000
Sarjapur Road,2,906,Fully Furnished,8,10,10,Any,0,1,0,0,0,0,0,4.4,1.7,35000
Hennur,2,947,Semi-Furnished,2,5,3,Family,0,1,0,0,0,0,0,3.9,7.2,20000
Whitefield,3,1456,Semi-Furnished,4,7,3,Family,0,0,0,0,0,0,0,4.2,0.2,37500
Whitefield,3,1641,Fully Furnished,1,5,15,Family,0,0,1,1,1,0,0,4.5,0.5,42000
Koramangala,2,792,Unfurnished,1,7,6,Any,1,0,1,0,1,1,0,1.3,2.7,47000
Marathahalli,2,1097,Semi-Furnished,3,3,6,Family,0,0,0,0,0,1,0,3.3,0.7,31000
Sadashivanagar,1,444,Semi-Furnished,2,3,15,Any,1,0,1,0,1,1,1,3.6,5.3,32000
Bellandur,3,1005,Unfurnished,5,5,1,Family,0,0,0,1,1,1,1,3.4,1.3,34500
Marathahalli,1,452,Semi-Furnished,3,7,6,Any,0,1,0,0,1,0,0,3.7,0.9,15500
Sarjapur Road,2,631,Semi-Furnished,10,20,20,Family,0,1,0,1,1,1,1,4.2,1.0,27500
Koramangala,2,914,Fully Furnished,2,5,6,Family,1,1,0,0,1,1,1,1.1,2.6,46000
Indiranagar,2,990,Unfurnished,13,15,6,Family,1,1,1,1,0,0,0,1.1,2.5,60000
Bellandur,1,577,Fully Furnished,2,7,15,Bachelor,1,1,1,1,0,1,0,4.2,0.7,22000
Indiranagar,3,1493,Unfurnished,4,5,6,Family,0,0,1,1,1,1,0,0.9,3.8,75500
Indiranagar,1,552,Unfurnished,5,7,15,Any,0,1,1,0,1,1,0,0.9,4.8,34000
Koramangala,2,1060,Unfurnished,4,15,1,Family,1,1,1,0,0,1,1,1.6,1.9,35000
Begur,1,514,Unfurnished,3,5,10,Family,0,1,0,0,1,0,0,5.2,3.8,11000
